,Daerah,UHH (tahun),HLS (tahun),RLS (tahun),Pengeluaran (ribu rupiah),IPM
313,Kota Kupang,74.66,16.44,11.62,13762,82.77
314,Sambas,74.02,12.72,6.75,11057,70.6
315,Bengkayang,74.2,12.16,7.22,9859,69.53
316,Landak,73.95,12.53,7.24,8423,68.22
317,Mempawah,74.04,12.88,7.2,869,68.91
318,Sanggau,74.01,11.87,7.44,9213,68.73
319,Ketapang,73.58,11.96,7.55,9984,69.61
320,Sintang,74.07,12.3,7.64,9128,69.39
321,Kapuas Hulu,73.33,12.2,7.82,8055,67.86
322,Sekadau,73.93,11.92,7.13,7981,66.83
323,Melawi,73.7,11.34,7.42,9155,67.92
324,Kayong Utara,72.17,12.12,6.35,8594,66.06
325,Kubu Raya,73.27,13.89,7.04,9605,70.5
326,Kota Pontianak,75.07,15.04,10.45,15632,81.63
327,Kota Singkawang,74.42,12.94,8.21,12457,74.13
328,KALIMANTAN TENGAH,73.54,12.76,8.73,11878,73.73
329,Kotawaringin Barat,73.13,12.77,8.66,13798,74.92
330,Kotawaringin Timur,74.22,12.88,8.17,12546,73.99
331,Kapuas,72.75,12.96,7.84,11829,72.4
332,Barito Selatan,72.63,12.8,9.13,12067,74.01
333,Barito Utara,73.58,12.54,8.91,1072,72.71
334,Sukamara,74.12,12.16,8.17,9494,70.35
335,Lamandau,73.31,12.52,8.67,1205,73.44
336,Seruyan,73.09,12.03,8.0,10157,70.24
337,Katingan,73.98,12.98,8.85,11399,73.9
338,Pulang Pisau,72.97,12.51,8.27,10752,71.62
339,Gunung Mas,73.31,12.05,9.25,11462,73.18
340,Barito Timur,72.04,12.87,9.45,12083,74.21
341,Murung Raya,73.23,12.04,7.81,11053,70.91
342,Kota Palangka Raya,74.23,14.99,11.65,14727,81.95
343,Tanah Laut,74.46,12.41,7.92,12198,72.98
344,Kota Baru,73.76,12.07,7.55,1248,72.01
345,Banjar,73.33,13.03,7.94,13301,74.01
346,Barito Kuala,72.28,12.55,7.74,1075,70.67
347,Tapin,74.47,12.33,8.05,12776,73.52
348,Hulu Sungai Selatan,72.52,12.46,7.86,13743,73.21
349,Hulu Sungai Tengah,72.33,12.24,8.29,12782,72.76
350,Hulu Sungai Utara,72.21,13.19,7.77,10491,71.12
351,Tabalong,74.63,12.91,9.14,12507,75.43
352,Tanah Bumbu,74.28,12.6,8.3,12516,73.86
353,Balangan,73.69,12.82,8.03,11888,72.97
354,Kota Banjarmasin,74.88,13.97,10.24,1528,79.98
355,Kota Banjar Baru,74.9,14.85,10.99,14524,81.25
356,Paser,73.89,13.37,8.91,11651,74.56
357,Kutai Barat,73.73,13.25,8.85,11291,73.97
358,Kutai Kartanegara,74.12,13.64,9.26,12323,75.95
359,Kutai Timur,74.33,13.01,9.45,11961,75.33
360,Berau,73.45,13.36,9.56,1362,76.71
361,Penajam Paser Utara,74.03,12.86,8.53,12517,74.33
362,Mahakam Ulu,73.44,12.63,8.49,8696,70.02
363,Kota Balikpapan,75.64,14.24,10.93,16195,82.03
364,Kota Samarinda,75.27,15.39,10.93,1561,82.61
365,Kota Bontang,74.81,13.43,10.92,17659,81.63
366,Malinau,73.25,13.34,9.43,10708,74.0
367,Bulungan,73.83,13.04,9.21,10205,73.2
368,Tana Tidung,73.47,12.39,9.04,8386,70.06
369,Nunukan,73.11,12.68,8.26,7787,68.43
370,Kota Tarakan,74.24,14.21,10.36,11992,77.61
371,Bolaang Mongondow,71.94,11.63,8.36,10915,70.48
372,Minahasa,74.96,14.18,10.11,13027,78.48
373,Kepulauan Sangihe,74.49,12.6,8.64,11946,73.94
374,Kepulauan Talaud,73.25,12.66,9.91,9146,72.22
375,Minahasa Selatan,74.07,12.99,9.41,1209,75.25
376,Minahasa Utara,74.5,7.0,10.3,11958,76.5
377,Bolaang Mongondow Utara,73.41,12.38,8.58,9652,70.97
378,Siau Tagulandang Biaro,74.4,12.03,9.25,8742,70.81
379,Minahasa Tenggara,73.11,12.45,9.13,11034,72.97
380,Bolaang Mongondow Selatan,70.8,12.33,8.17,9593,69.17
381,Bolaang Mongondow Timur,73.25,11.9,8.27,9741,70.09
382,Kota Manado,75.02,14.19,11.44,14822,81.4
383,Kota Bitung,74.22,12.66,9.94,12954,76.33
384,Kota Tomohon,75.28,14.24,10.99,12488,79.29
385,Kota Kotamobagu,74.7,12.9,10.33,11452,76.01
386,Banggai Kepulauan,67.35,13.09,8.62,8066,67.05
387,Banggai,72.09,13.34,8.63,104,72.19
388,Morowali,71.0,13.38,9.37,11708,73.82
389,Poso,72.98,13.74,9.53,9622,73.25
390,Donggala,70.52,12.61,7.99,8766,68.17
391,Toli - Toli,71.09,13.04,8.77,8665,69.68
392,Buol,71.06,13.17,9.09,8678,70.18
393,Parigi Moutong,68.62,12.51,8.04,10471,69.06
394,Tojo Una - Una,70.89,12.37,8.51,855,68.47
395,Sigi,71.11,13.05,9.03,8891,70.28
396,Banggai Laut,70.75,13.03,8.64,847,69.12
397,Morowali Utara,72.19,12.29,8.94,9623,70.74
398,Kota Palu,73.71,16.51,11.74,15501,83.71
399,Kepulauan Selayar,73.27,12.69,8.35,983,71.13
400,Bulukumba,74.01,13.43,8.26,11392,73.64
401,Bantaeng,72.67,12.53,7.09,12304,71.28
402,Jeneponto,73.81,12.12,7.0,9781,68.95
403,Takalar,73.43,12.49,7.66,11239,71.46
404,Gowa,74.03,13.7,8.41,10233,73.01
405,Sinjai,72.83,13.26,7.8,1018,71.2
406,Maros,73.55,13.5,8.03,11795,73.56
407,Pangkajene dan Kepulauan,72.87,12.8,8.31,12241,73.23
408,Barru,72.57,13.62,8.54,11712,73.8
409,Bone,73.2,13.0,7.54,9682,70.25
410,Soppeng,73.47,13.21,8.27,10098,71.94
411,Wajo,73.25,13.31,7.45,13192,73.56
412,Sidenreng Rappang,74.32,13.02,8.2,12739,74.38
413,Pinrang,74.47,13.27,8.3,12559,74.7
414,Enrekang,73.92,13.87,8.94,11636,75.11
415,Luwu,73.3,13.41,8.73,10691,73.23
416,Tana Toraja,74.63,13.88,8.6,8017,71.01
417,Luwu Utara,73.56,12.59,8.14,12513,73.31
418,Luwu Timur,74.32,13.01,8.93,13451,75.84
419,Toraja Utara,74.88,13.42,8.51,8871,71.69
420,Kota Makasar,75.15,15.61,11.56,17889,84.85
421,Kota Parepare,74.44,14.54,10.7,14495,80.36
422,Kota Palopo,74.0,15.12,11.13,13892,80.77
423,Buton,70.36,13.88,8.49,7995,68.96
424,Munal,71.56,14.02,8.53,8703,70.62
425,Konawe,72.78,13.04,9.56,10963,73.88
426,Kolaka,73.54,13.03,9.35,13055,75.73
427,Konawe Selatan,71.72,12.78,8.51,9753,70.64
428,Bombana,70.88,11.9,8.07,9132,68.12
429,Wakatobi,70.76,13.52,8.51,1024,71.45
430,Kolaka Utara,70.62,12.17,8.81,1102,71.11
431,Buton Utara,71.36,13.17,9.12,8289,69.85
432,Konawe Utara,70.53,13.12,9.6,10113,72.11
433,Kolaka Timur,73.11,12.7,8.4,852,69.61
434,Konawe Kepulauan,70.25,12.54,9.45,7564,68.11
435,Muna Barat,71.17,12.62,7.86,8076,67.44
436,Buton Tengah,70.37,13.2,7.34,8003,66.94
437,Buton Selatan,70.14,13.26,7.65,7936,67.19
438,Kota Kendari,75.34,16.91,12.53,15116,85.51
439,Kota Baubau,74.53,15.52,11.02,11207,79.0
440,Boalemo,71.24,12.48,7.3,9941,68.78
441,Gorontalo,70.81,13.21,7.79,10336,70.37
442,Pohuwato,69.4,12.46,7.59,11018,69.3
443,Bone Bolango,70.19,13.67,8.35,11114,71.97
444,Gorontalo Utara,69.65,12.49,7.17,10037,68.0
